,researcher,date,hour_HOBO,hour_OMEGA,temp,intensity,humidity,pendant_id,lat,long,region,site_code,sensor_pendant,microsite,rep,x,y,z
87,ng,2022-05-18,3:00:00 AM,,11.916,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
88,ng,2022-05-18,4:00:00 AM,,11.722,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
89,ng,2022-05-18,5:00:00 AM,,12.207,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
90,ng,2022-05-18,6:00:00 AM,,12.497,44,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
91,ng,2022-05-18,7:00:00 AM,,19.853,704,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
92,ng,2022-05-18,8:00:00 AM,,24.351,992,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
93,ng,2022-05-18,9:00:00 AM,,28.953,960,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
94,ng,2022-05-18,10:00:00 AM,,30.558,1152,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
95,ng,2022-05-18,11:00:00 AM,,33.014,1280,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
96,ng,2022-05-18,12:00:00 PM,,33.953,1536,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
97,ng,2022-05-18,1:00:00 PM,,36.295,2560,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
98,ng,2022-05-18,2:00:00 PM,,37.714,2688,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
99,ng,2022-05-18,3:00:00 PM,,37.604,3072,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
100,ng,2022-05-18,4:00:00 PM,,37.604,2560,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
101,ng,2022-05-18,5:00:00 PM,,37.494,2432,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
102,ng,2022-05-18,6:00:00 PM,,34.479,1024,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
103,ng,2022-05-18,7:00:00 PM,,38.268,3712,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
104,ng,2022-05-18,8:00:00 PM,,25.902,38,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
105,ng,2022-05-18,9:00:00 PM,,22.908,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
106,ng,2022-05-18,10:00:00 PM,,20.805,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
107,ng,2022-05-18,11:00:00 PM,,18.711,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
108,ng,2022-05-19,12:00:00 AM,,16.713,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
109,ng,2022-05-19,1:00:00 AM,,17.189,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
110,ng,2022-05-19,2:00:00 AM,,16.523,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
111,ng,2022-05-19,3:00:00 AM,,16.237,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
112,ng,2022-05-19,4:00:00 AM,,15.569,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
113,ng,2022-05-19,5:00:00 AM,,15.76,0,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
114,ng,2022-05-19,6:00:00 AM,,17.284,29,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
115,ng,2022-05-19,7:00:00 AM,,23.196,768,NA,10641596,35.11881,-119.6291,Carrizo,Carrizo_4,HOBO,triangle,8,0,0,0
